Month,Year,Engagement Type,Group Engagement Type ,Event Type,Course Instruction Type,Workshop & Presentation Type,Workshop & Presentation Type1,Workshop & Presentation Type2,In Person: Total Number of Sessions,In Person: Total Number of Participants,Online Synchronous: Total Number of Sessions,Online Synchronous: Total Number of Participants,Online Asynchronous: Total Number of Sessions,Area of Representation (Transactions),Online Asynchronous: Total Number of Particpants,Area of Representation (Consultations),Number of Transactions: In-Person,Number of Transactions: Virtual,Area of Representation (Transactions)1,Number of Consultations: In Person,Number of Consultations: Virtual
September,2024,Transactions,,,,,,,,,,,,,,,,5.0,,,
October,2024,Transactions,,,,,,,,,,,,,,,,36.0,,,
August,2024,Transactions,,,,,,,,,,,,Scholarly Resources,,,0.0,0.0,,,
September,2024,Transactions,,,,,,,,,,,,Scholarly Resources,,,15.0,23.0,,,
October,2024,Transactions,,,,,,,,,,,,Scholarly Resources,,,16.0,55.0,,,
November,2024,Transactions,,,,,,,,,,,,Scholarly Resources,,,21.0,66.0,,,
August,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,6.0,95.0,0.0,0.0,3.0,Collections,74.0,,,,,,
October,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,9.0,345.0,1.0,30.0,0.0,Collections,0.0,,,,,,
November,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,10.0,137.0,0.0,0.0,0.0,Collections,0.0,,,,,,
August,2024,Transactions,,,,,,,,,,,,,,,,2.0,,,
September,2024,Transactions,,,,,,,,,,,,,,,,15.0,,,
October,2024,Transactions,,,,,,,,,,,,,,,,63.0,,,
November,2024,Transactions,,,,,,,,,,,,,,,,40.0,,,
October,2024,Consultations,,,,,,,,,,,,,,,,,Special Collections,3.0,
September,2024,Consultations,,,,,,,,,,,,,,,,,AlkekOne (Emerging Technology),6.0,0.0
September,2024,Transactions,,,,,,,,,,,,AlkekOne,,,654.0,7.0,,,
September,2024,Group Sessions,Workshops & Presentations,,,"In-person, Synchronous",,,7.0,71.0,,,,AlkekOne,,,,,,,
September,2024,Group Sessions,Events,Non-sponsored,,,,,1.0,42.0,,,,AlkekOne,,,,,,,
September,2024,Group Sessions,Tours,,,,,,5.0,91.0,,,,AlkekOne,,,,,,,
October,2024,Consultations,,,,,,,,,,,,,,,,,AlkekOne (Emerging Technology),28.0,31.0
October,2024,Transactions,,,,,,,,,,,,AlkekOne,,,851.0,6.0,,,
October,2024,Group Sessions,Workshops & Presentations,,,"In-person, Synchronous",,,11.0,127.0,,20.0,,AlkekOne,,,,,,,
