Table 17,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,TABLE 18,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Note,the circulation by location table is unavailable for 2015
CIRCULATION BORROWING RATES FY2014-FY2015,,,,,"LOAN STATISTICS BY CLASS, FY2014-2015",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2013-2014,2014-2015,,,Class,Number of ,Percent,Number of ,Percent,,,,
,Fall 2013,Fall 2014,,,,Loans FY2014 ,of Total,Loans  FY2015 ,of Total,,,,
Weekly Average,4689,4094,,,,,,,,,,,
Percent Change form Previous Fall,-0.09,-0.12689272766048199,,,,,,,,,,,
Semester Total,75018,69605,,,Freshman,20475,0.15,21942,,,,,
Regular Charge ,62427,58103,,,,,,,,,,,
Reserve Charge,12591,11502,,,Sophomore,23794,0.17,27388,,,,,
Percent Change from Previous Fall,0.01,-0.07215601588951985,,,,,,,,,,,
,,,,,Junior,31930,0.23,32869,,,,,
,Spring 2014,Spring 2015,,,,,,,,,,,
Weekly Average,2651,4310,,,Senior,43239,0.31,46972,,,,,
Percent Change from Previous Spring,-0.08,0.6258015843078084,,,,,,,,,,,
Semester Total,55670,77580,,,Undergraduate TOTAL,119438,0.78,129171,,,,,
Regular Charge ,44136,67720,,,,,,,,,,,
Reserve Charge,11534,9860,,,Masters/Post Grad,15534,0.11,17582,,,,,
Percent Change from Previous Spring,0,0.39356924735045806,,,,,,,,,,,
,,,,,Doctoral,2208,0.02,2462,,,,,
,Summer I,Summer I,,,,,,,,,,,
Weekly Average,1837,2169,,,Graduate TOTAL,5156,0.03,20044,,,,,
Percent Change from Previous Summer I,-0.38,-0.18072945019052802,,,,,,,,,,,
Semester Total,10974,13019,,,Student TOTAL,123096,0.82,119518,,,,,
Regular Charge ,6332,11661,,,,,,,,,,,
Reserve Charge,1015,1358,,,Faculty ,11940,0.09,24129,,,,,
Percent Change from Previous Summer I,-0.16,0.18634955349006743,,,,,,,,,,,
,,,,,Other c,5957,0.04,192,,,,,
,Summer II,Summer II,,,,,,,,,,,
Weekly Average,1814,2200,,,,,,,,,,,
Percent Change from Previous Summer II,-0.33,0.2127894156560088,,,Grand Total,150764,1,143839,,,,,
Semester Total,11002,12705,,,,,,,,,,,
Regular Charge ,9404,10425,,,,,,,,,,,
Reserve Charge,1598,2253,,,,,,,,,,,
Percent Change from Previous Summer II,-0.12,0.1547900381748773,,,"c Other includes correspondence students, Interlibrary Loan, non-university borrowers, retired faculty and staff, and TexShare card holders",,,,,,,,
,,,,,,,,,,,,,
Annual Total,152664,172909,,,,,,,,,,,
