Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,TABLE 16,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Table 17,Unnamed: 13,Unnamed: 14,Unnamed: 15
CIRCULATION BORROWING RATES FY2016 - 2017,,,,,"LOAN STATISTICS BY CLASS, AY2016 - 2017",,,,,,,CIRCULATION OF LIBRARY MATERIALS* BY LOCATION,,,
,,,,,,,,,,,, FY2016 - 2017,,,
,2015-2016,2016-2017,,,Class,Number of ,Percent,Number of ,Percent,,,Materials,FY2016,FY2017,% Change
,Fall 2015,Fall 2016,,,,Loans FY2016 ,of Total,Loans  FY2017 ,of Total,,,Bound Periodicals,33,97,1.9393939393939394
Weekly Average,4094,4586,,,,,,,,,,Career Guides Collection,79,73,-0.07594936708860756
Percent Change form Previous Fall,-0.09,0.12017586712261846,,,,,,,,,,CD Shelves,1094,1009,-0.07769652650822667
Semester Total,70349,68784,,,Freshman,19746,0.11,17510,,,,Circulation/Reserve Desk,22270,23491,0.054827121688370006
Regular Charge ,59953,57907,,,,,,,,,,DVD Shelves,8813,8514,-0.03392715306932936
Reserve Charge,10396,10877,,,Sophomore,26742,0.15,26672,,,,Game Shelves,122,151,0.23770491803278682
Percent Change from Previous Fall,0.01,-0.022246229512857325,,,,,,,,,,"General Collection, Floors 5-7",47000,47703,0.014957446808510744
,,,,,Junior,33803,0.18,32597,,,,Government Information,112,82,-0.2678571428571429
,Spring 2017,Spring 2017,,,,,,,,,,Graphic Novels,2265,2493,0.10066225165562903
Weekly Average,5172,4879,,,Senior,41220,0.23,41504,,,,Juvenile Collection,8023,7919,-0.012962732145082922
Percent Change from Previous Spring,-0.08,-0.056651198762567676,,,,,,,,,,Kits,271,291,0.07380073800738018
Semester Total,77580,73193,,,Undergraduate TOTAL,121511,0.67,118283,,,,LPs,124,291,1.346774193548387
Regular Charge ,67720,62804,,,,,,,,,,Language Learning Media Collection,127,66,-0.4803149606299213
Reserve Charge,9860,10389,,,Masters/Post Grad,14369,0.08,13360,,,,Models,367,343,-0.06539509536784738
Percent Change from Previous Spring,0,-0.05654807940190771,,,,,,,,,,Music Library,4285,4141,-0.033605600933488966
,,,,,Doctoral,2342,0.01,1927,,,,New Books Collection,682,1066,0.563049853372434
,Summer I,Summer I,,,,,,,,,,Periodicals/Media Exhibit,101,63,-0.37623762376237624
Weekly Average,1837,1817,,,Graduate TOTAL,138222,0.09,15287,,,,Popular Reading Collection,934,758,-0.18843683083511775
Percent Change from Previous Summer I,-0.38,-0.010887316276537834,,,,,,,,,,Round Rock Library,1268,1268,0
Semester Total,13019,9087,,,Student TOTAL,276444,0.76,133570,,,,Secured Collectiona ,7400,9119,0.2322972972972972
Regular Charge ,11661,7799,,,,,,,,,,TCMC,393,383,-0.025445292620865145
Reserve Charge,1358,1288,,,Faculty ,44397,0.24,1128,,,,Testing Collection,77,60,-0.22077922077922074
Percent Change from Previous Summer I,-0.16,-0.3020201244335202,,,,,,,,,,Toy Shelves,69,102,0.4782608695652173
,,,,,Other c,261,0,24563,,,,Otherb,786,773,-0.01653944020356235
,Summer II,Summer II,,,,,,,,,,,,,
Weekly Average,1814,1649,,,,,,,,,,TOTAL,106695,110256,0.033375509630254374
Percent Change from Previous Summer II,-0.33,-0.09095920617420065,,,Grand Total,321102,1,159261,,,,,,,
Semester Total,12705,8165,,,,,,,,,,"a Secured Collection includes item types of equipment, books, kits, models, and DVDs.",,,
Regular Charge ,10425,7223,,,,,,,,,,"b ""Other"" includes audiocassettes, braille, current periodicals, digital media, flash-activity cards, microforms, reference, and videocassettes",,,
Reserve Charge,2253,942,,,"c Other includes correspondence students, Interlibrary Loan, staff, retired faculty and staff, and TexShare card holders",,,,,,,,,,
Percent Change from Previous Summer II,-0.12,-0.3573396300669028,,,,,,,,,,"*Library Materials does not include laptops and chargers, whose circulation is managed by Instructional Technologies Support.",,,
,,,,,,,,,,,,,,,
Annual Total,173653,159229,,,,,,,,,,,,,
