Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,TABLE 16,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Table 17,Unnamed: 14,Unnamed: 15,Unnamed: 16
CIRCULATION BORROWING RATES FY2017-2018,,,,,"LOAN STATISTICS BY CLASS, FY2017-2018",,,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,
,,,,,,,,,,,,, FY2017 - FY2018,,,
,,,,,,,,,,,,,,,,
,2016-2017,2017-2018,,,Class,Number of ,Percent,Number of ,Percent,,,,Materials,FY2017,FY2018,% Change
,Fall 2016,Fall 2017,,,,Loans FY2017,of Total,Loans  FY2018 ,of Total,,,,Archives & Research Center,na,20,na
Weekly Average,4586,3743.625,,,,,,,,,,,Bound Periodicals,97,70,-0.27835051546391754
Percent Change form Previous Fall,-0.09,-0.18368403837767117,,,,,,,,,,,Career Guides Collection,73,54,-0.26027397260273977
Semester Total,68784,59898,,,Freshman,17510,0.11,15271,,,,,CD Shelves,1009,954,-0.05450941526263631
Regular Charge ,57907,51288,,,,,,,,,,,Circulation/Reserve Desk,23491,18384,-0.21740240943340006
Reserve Charge,10877,8610,,,Sophomore,26672,0.17,18250,,,,,DVD Shelves,8514,6279,-0.26250880902043694
Percent Change from Previous Fall,0.01,-0.12918702023726447,,,,,,,,,,,Game Shelves,151,104,-0.3112582781456954
,,,,,Junior,32597,0.2,27494,,,,,"General Collection, Floors 5-7",47703,54828,0.14936167536632916
,Spring 2017,Spring 2017,,,,,,,,,,,Government Information,82,49,-0.4024390243902439
Weekly Average,4879,3229.0625,,,Senior,41504,0.26,34985,,,,,Graphic Novels,2493,2658,0.06618531889290002
Percent Change from Previous Spring,-0.08,-0.33817124410739907,,,,,,,,,,,Juvenile Collection,7919,7136,-0.09887612072231344
Semester Total,73193,51665,,,Undergraduate TOTAL,118283,0.74,96000,,,,,Kits,291,270,-0.07216494845360821
Regular Charge ,62804,45263,,,,,,,,,,,Laptopsa,49892,33751,-0.32351880060931615
Reserve Charge,10389,6402,,,Masters/Post Grad,13360,0.08,12026,,,,,LPs,291,48,-0.8350515463917526
Percent Change from Previous Spring,0,-0.2941264875056358,,,,,,,,,,,Language Learning Media Collection,66,80,0.21212121212121215
,,,,,Doctoral,1927,0.01,1570,,,,,Models,343,382,0.1137026239067056
,Summer I,Summer I,,,,,,,,,,,Music Library,4141,2930,-0.29244143926587784
Weekly Average,1817,1641.75,,,Graduate TOTAL,15287,0.1,13596,,,,,New Books Collection,1066,1383,0.29737335834896816
Percent Change from Previous Summer I,-0.38,0.09645019262520639,,,,,,,,,,,Periodicals/Media Exhibit,63,88,0.39682539682539675
Semester Total,9087,13134,,,Student TOTAL,148857,0.84,109596,,,,,Popular Reading Collection,758,843,0.11213720316622688
Regular Charge ,7799,11980,,,,,,,,,,,Round Rock Library,1268,1054,-0.16876971608832803
Reserve Charge,1288,1154,,,Faculty ,1128,0.01,18113,,,,,Secured Collectionb ,9119,9756,0.06985415067441614
Percent Change from Previous Summer I,-0.16,0.4453615054473424,,,,,,,,,,,TCMC,383,302,-0.21148825065274146
,,,,,Other c,24563,0.15,13352,,,,,Testing Collection,60,35,-0.41666666666666663
,Summer II,Summer II,,,,,,,,,,,Toy Shelves,102,50,-0.5098039215686274
Weekly Average,1649,2188,,,,,,,,,,,Otherc,773,98,-0.8732212160413971
Percent Change from Previous Summer II,-0.33,0.32686476652516677,,,Grand Total,174548,1,141061,,,,,,,,
Semester Total,8165,17504,,,,,,,,,,,TOTAL,160148,141606,-0.11578040312710747
Regular Charge ,7223,14361,,,,,,,,,,,,,,
Reserve Charge,942,3143,,,,,,,,,,,,,,
Percent Change from Previous Summer II,-0.12,1.1437844458052664,,,"c Other includes correspondence students, Interlibrary Loan, non-university borrowers, retired faculty and staff, and TexShare card holders",,,,,,,,a Laptops & chargers circulated by Instructional Technologies Support (ITS),,,
,,,,,,,,,,,,,"b Secured Collection includes item types of equipment, books, kits, models, and DVDs.",,,
Annual Total,159229,142201,,,,,,,,,,,"c ""Other"" includes audiocassettes, braille, digital media, flash-activity cards, microforms, reference, and videocassettes",,,
