Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Table 16,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Table 17,Unnamed: 13,Unnamed: 14,Unnamed: 15
CIRCULATION BORROWING RATES FY2018-2019,,,,,"LOAN STATISTICS BY CLASS, FY2018-2019",,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,
,,,,,,,,,,,, FY2018 - FY2019,,,
,,,,,,,,,,,,,,,
,2017-2018,2018-2019,,,Class,Number of ,Percent,Number of ,Percent,,,Materials,FY2018,FY2019,% Change
,Fall 2017,Fall 2018,,,,Loans FY2018,of Total,Loans  FY2019,of Total,,,Archives & Research Center,20,367,17.35
Weekly Average,3743.625,3011.1875,,,,,,,,,,Alkek Bound Periodicalsa,70,,
Percent Change form Previous Fall,-0.18,-0.19564927042639152,,,,,,,,,,Alkek Career Guides Collectionb,54,11,-0.7962962962962963
Semester Total,59898,48179,,,Freshman,15271,1.0633660608592717,12138,,,,Alkek CD Shelves,954,564,-0.4088050314465409
Regular Charge ,51288,40965,,,,,,,,,,Alkek Circulation/Reserve Desk,18384,15310,-0.16721061792863356
Reserve Charge,8610,7214,,,Sophomore,18250,1.2708028688809971,13995,,,,Alkek DVD Shelves,6279,5414,-0.13776078993470298
Percent Change from Previous Fall,-0.13,-0.19564927042639152,,,,,,,,,,Alkek Game Shelves,104,50,-0.5192307692307692
,,,,,Junior,27494,1.914490634356939,19695,,,,"Alkek General Collection, Floors 5-6",54828,46753,-0.14727876267600493
,Spring 2018,Spring 2019,,,,,,,,,,Alkek Government Information ,49,31,-0.36734693877551017
Weekly Average,3229,2542.6875,,,Senior/Post Grad,36119,2.5150755518417935,30444,,,,Alkek Graphic Novels,2658,1688,-0.3649360421369451
Percent Change from Previous Spring,-0.34,-0.21254645401052957,,,,,,,,,,Alkek Juvenile Collection,7136,6077,-0.14840246636771304
Semester Total,51665,40683,,,Undergraduate TOTAL,97134,6.763735115939001,76272,,,,Alkek Kits,270,169,-0.3740740740740741
Regular Charge ,45263,34925,,,,,,,,,,Alkek & McCoy Laptops,33751,19614,-0.4188616633581227
Reserve Charge,6402,5758,,,Masters/Post Grad,12026,0.8374068658171436,8594,,,,LPsc,48,,
Percent Change from Previous Spring,-0.29,-0.21256169553856577,,,,,,,,,,Alkek Language Learning Media Collection,80,61,-0.23750000000000004
,,,,,Doctoral,1570,0.1093238632407214,1429,,,,Alkek Models,382,156,-0.5916230366492147
,Summer I 2018,Summer I 2019,,,,,,,,,,Music Library,2930,3338,0.13924914675767908
Weekly Average,1642,1665.75,,,Graduate TOTAL,13596,0.946730729057865,10023,,,,Alkek New Books Collection,1383,1407,0.017353579175704903
Percent Change from Previous Summer I,-0.1,-0.01446406820950061,,,,,,,,,,Alkek Periodicals/Media Exhibitd,88,30,-0.6590909090909092
Semester Total,13134,13326,,,Student TOTAL,110730,7.710465844996866,86295,,,,Alkek Popular Reading Collection,843,827,-0.018979833926453193
Regular Charge ,11980,12211,,,,,,,,,,Round Rock Library,1054,1076,0.020872865275142205
Reserve Charge,1154,1115,,,Faculty ,18113,1.2612631432351507,12669,,,,Alkek Secured Collectione ,9756,8462,-0.1326363263632636
Percent Change from Previous Summer I,0.45,0.014618547281863865,,,,,,,,,,Alkek TCMC,302,283,-0.0629139072847682
,,,,,      Staff,7495,0.5218995891650999,6247,,,,Alkek Testing Collection,35,49,0.3999999999999999
,Summer II 2018,Summer II 2019,,,,,,,,,,Alkek Toy Shelves,50,36,-0.28
Weekly Average,2188,1207.25,,,Other a,5863,0.4082584778218787,6635,,,,Otherf,98,73,-0.2551020408163265
Percent Change from Previous Summer II,0.33,-0.4482404021937843,,,,,,,,,,,,,
Semester Total,17504,9658,,,,,,,,,,TOTAL,141606,111846,-0.2101605864158298
Regular Charge ,14361,8371,,,Grand Total,142201,9.901887055218996,111846,,,,,,,
Reserve Charge,3143,1287,,,,,,,,,,,,,
Percent Change from Previous Summer II,1.14,-0.4482404021937843,,,,,,,,,,"a Bound Periodicals location ceased to exist, and bound periodicals were transferred to ARC. ",,,
,,,,,,,,,,,,"b Career Guides location ceased to exist, and items were withdrawn or relocated to other collections. ",,,
Annual Total,142201,111846,,,"a Other includes Interlibrary Loan, non-university borrowers, retired faculty and staff, and TexShare card holders.",,,,,,,"c LP location ceased to exist, and LPS were transferred to ARC. ",,,
,,,,,,,,,,,,d Periodicals/Media Exhibit location ceased to exist. ,,,
,,,,,,,,,,,,"e Secured Collection includes item types of equipment, books, kits, models, and DVDs.",,,
,,,,,,,,,,,,"f ""Other"" includes audiocassettes, braille, digital media, flash-activity cards, microforms, reference, and videocassettes",,,
