Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,TABLE 16,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Table 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
CIRCULATION BORROWING RATES FY2019-2020,,,,,,"LOAN STATISTICS BY CLASS, FY2019-2020",,,,,,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,
,,,,,,,,,,,,,,,,, FY2019 - FY2020,,,
,,,,,,,,,,,,,,,,,,,,
,2018-2019,2019-2020,,,,Class,Number of ,Percent,Number of ,Percent,,,,,,,Location,FY2019,FY2020a,% Change
,Fall 2018,Fall 2019,,,,,Loans FY2019,of Total,Loans  FY2020a,of Total,,,,,,,Alkek Career Guides Collectionb,11,,
Weekly Average,3011,2777.875,,,,,,,,,,,,,,,Alkek CD Shelves,564,496,-0.12056737588652482
Percent Change form Previous Fall,-0.34,-0.07742444370640983,,,,,,,,,,,,,,,Alkek Checkout Desk/Reserve ,15310,8996,-0.41241018941868063
Semester Total,48179,44446,,,,Freshman,12138,0.11,8280,0.09620635566141869,,,,,,,Alkek DVD Shelves,5414,3836,-0.29146656815663097
Regular Charge ,40965,39259,,,,,,,,,,,,,,,Alkek Exhibit Cases/Cartsc,30,263,7.766666666666667
Reserve Charge,7214,5187,,,,Sophomore,13995,0.13,9065,0.10532736884912566,,,,,,,Alkek Game Shelves,50,74,0.48
Percent Change from Previous Fall,-0.2,-0.28098142500693096,,,,,,,,,,,,,,,"Alkek General Collection, Floors 5-6",46753,41391,-0.11468782751908968
,,,,,,Junior,19695,0.18,13324,0.1548132225643409,,,,,,,Alkek Government Information ,31,50,0.6129032258064516
,Spring 2019,Spring 2020,,,,,,,,,,,,,,,Alkek Graphic Novels,1688,1961,0.1617298578199052
