Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Table 17,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,TABLE 16,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CIRCULATION BORROWING RATES FY2020-2021,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,,,"CIRCULATION BORROWING BY CLASS, FY2020-2021",,,,
,,,,,, FY2020 - FY2021,,,,,,,,,
All Locations (Univ Libraries and Music Library),2019-2020a,2020-2021a,% Change,,,,,,,,,,,,
, , ,,,,Location,FY2020a,FY2021b,% Change,,Class,Number of ,Percent,Number of ,Percent
Annual Total Checkout Transactions,86065,61659,-0.28,,,Alkek CD Shelves,496,263,-0.47,,,Loans FY2020a,of Total,Loans  FY2021b,of Total
* Print/Media Collections,60516,45702,-0.24,,,Alkek Checkout Desk/Reserve ,8996,2816,-0.69,,,,,,
* Reserve ,8432,2435,-0.71,,,Alkek DVD Shelves,3836,2329,-0.39,,,,,,
* Equipment/Keys,7399,8795,0.19,,,Alkek Exhibit Cases/Cartsc,263,212,-0.19,,Freshman,8280,0.1,4578,0.074
* Computer/Mifi,9718,4727,-0.51,,,Alkek Game Shelves,74,84,0.14,,,,,,
, , ,,,,"Alkek General Collection, Floors 5-6",41391,34239,-0.17,,Sophomore,9065,0.11,5082,0.082
Circulation for ACRL Surveyb, ,43333,,,,Alkek Government Information ,50,15,-0.7,,,,,,
, , ,,,,Alkek Graphic Novels,1961,1612,-0.18,,Junior,13324,0.15,8043,0.13
Fall Semester (Sept-Dec),Fall 2019,Fall 2020c,% Change,,,Alkek Juvenile Collection,4724,2856,-0.4,,,,,,
Weekly Average,2778,1432,,,,Alkek Kits,174,40,-0.77,,Senior,20728,0.24,12554,0.204
Semester Total,44446,22907,-0.48,,,Alkek & McCoy Laptops,9698,4553,-0.53,,,,,,
* Print/Media Collection Checkouts,29067,15825,-0.46,,,Alkek Language Learning Media,52,13,-0.75,,Undergraduate TOTAL,51397,0.6,30257,0.49
* Reserve ,4810,992,-0.79,,,Alkek Models,103,35,-0.66,,,,,,
* Equipment/Keys,4367,3938,-0.1,,,Alkek New Books Collection,921,528,-0.43,,Masters/Post Grad,7134,0.08,5926,0.1
* Computer/Mifi,6202,2152,-0.65,,,Alkek Oned,363,4071,10.21,,,,,,
, , ,,,,Alkek Popular Reading Collection,525,555,0.06,,Doctoral,1254,0.01,1150,0.02
Spring Semester (Jan-Apr),Spring 2020c,Spring 2021c,% Change,,,Alkek Secured Collectione ,7881,4543,-0.42,,,,,,
Weekly Average,1868,1692,,,,Alkek TCMC (K-12 Textbooks),236,85,-0.64,,Graduate TOTAL,8388,0.1,7076,0.12
Semester Total,29893,27064,-0.09,,,Alkek Testing Collection,45,35,-0.22,,,,,,
* Print/Media Collection Checkouts,21656,20275,-0.06,,,Alkek Toy Shelves,29,25,-0.14,,Student TOTAL,59785,0.69,37333,0.61
* Reserve ,3225,936,-0.71,,,Alkek Collections - Othere,233,53,-0.77,,,,,,
* Equipment/Keys,2103,3853,0.83,,,Archives & Research Center,306,375,0.23,,Faculty ,15366,0.18,13353,0.22
* Computer/Mifi,2909,2000,-0.31,,,Round Rock Library,1080,943,-0.13,,,,,,
, , ,,,,Music Library,2628,1379,-0.48,,Staffc, , ,3482,0.06
Summer I (May-June),Summer I 2020c,Summer I 2021c,% Change,,, , , , ,,,,,,
Weekly Average,429,1009,,,,TOTAL,86065,61659,-0.28,,Otherd,10914,0.13,7491,0.12
Summer I Total,3432,8072,1.35,,, , , , ,,,,,,
* Print/Media Collection Checkouts,2901,6607,1.28,,, , , , ,,,,,,
* Reserve ,63,137,1.17,,,a Covid-19 stay-at-home orders and mostly online classes impacted checkouts of physical items in the second half of FY2020.,,,,,Grand Total,86065,1,61659,1
* Equipment/Keys,231,911,2.94,,,b Online/hybrid classes impacted checkouts of physical materials throughout FY2021. ,,,,,,,,,
* Computer/Mifi,237,417,0.76,,,"c Includes Alkek display locations on floors 1, 2, 3, 5 and 6.",,,,,,,,,
, , ,,,,d Alkek One opened in August 2020. FY2021 was the first full year of operation.,,,,,a Covid-19 stay-at-home orders and mostly online classes impacted checkouts of physical items in the second half of FY2020.,,,,
Summer II (July-Aug),Summer II 2020c,Summer II 2021c,% Change,,,"e  Secured Collection includes  equipment, books, kits, models, and DVDs.",,,,,b Online/hybrid classes impacted checkouts of physical materials throughout FY2021. ,,,,
Weekly Average,1037,951,,,,"f  ""Other"" includes digital media, flash-activity cards, posters, current periodicals, and reference items. ",,,,,c Staff separated from Other into its own category in FY2021.,,,,
Summer II Total,8294,7604,-0.08,,,,,,,,"d Other includes correspondence students, Interlibrary Loan, non-university borrowers, retired faculty and staff, and TexShare card holders. Other in FY2020 includes staff (i.e. 5,336 or 6%).",,,,
* Print/Media Collection Checkouts,6892,6028,-0.13,,,,,,,,,,,,
* Reserve ,334,488,0.46,,,,,,,,,,,,
* Equipment/Keys,698,611,-0.12,,,,,,,,,,,,
* Computer/Mifi,370,477,0.29,,,,,,,,,,,,
"aStarting with the FY2020-21, this table was modified to more clearly represent the variety of items checked out and to enable easier reporting to national surveys. 2019-2020 information was recompiled to match 2020-2021 information.",,,,,,,,,,,,,,,
"bACRL Survey circulation includes print, media, and reserve circulation but excludes laptop, equipment, and interlibrary loan checkouts.",,,,,,,,,,,,,,,
cThe second half of FY2020 and the entire FY2021 were impacted by stay-at-home recommendations and hybrid/online classes. Faculty were encouraged to use online resources instead of putting hard copy items on reserve. Checkout Desk provided an instructional material scanning service for faculty and a scanning service for students to help provide access to reserve and other print items. ,,,,,,,,,,,,,,,
