Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,TABLE 12,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Table 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
CIRCULATION BORROWING RATES FY2021-2022,,,,,,"CIRCULATION BORROWING BY CLASS, FY2021-2022",,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,
,,,,,,,,,,,,, FY2021 - FY2022,,,
All Locations (Univ Libraries and Music Library),2020-2021b,2021-2022,% Change,,,,,,,,,,,,,
, , ,,,,Class,Number of ,Percent,Number of ,Percent,,,Location,FY2021a,FY2022b,% Change
Annual Total Checkout Transactions,61659,64315,0.04307562561832012,,,,Loans FY2021a,of Total,Loans  FY2022b,of Total,,,Alkek CD Shelves,263,214,-0.18631178707224336
* Print/Media Collections,45702,47984,0.04993216927049145,,,,,,,,,,Alkek Checkout Desk/Reserve ,2816,3794,0.34730113636363635
* Reserve ,2435,3587,0.4731006160164271,,,,,,,,,,Alkek DVD Shelves,2329,2199,-0.055817947617003004
* Equipment/Keys,8795,7388,-0.15997725980670835,,,Freshman,4578,0.07424706855446893,6051,0.09408380626603437,,,Alkek Exhibit Cases/Cartsc,212,202,-0.04716981132075472
* Computer/Mifi,4727,5356,0.13306536915591285,,,,,,,,,,Alkek Game Shelves,84,102,0.21428571428571427
, , ,,,,Sophomore,5082,0.08242105775312607,5889,0.09156495374329472,,,"Alkek General Collection, Floors 5-6",34239,34276,0.001080639037355063
Circulation for ACRL Surveya,43333,43407,0.00170770544388803,,,,,,,,,,Alkek Government Information ,15,26,0.7333333333333333
, , ,,,,Junior,8043,0.1304432442952367,8789,0.13665552359480682,,,Alkek Graphic Novels,1612,1990,0.23449131513647642
Fall Semester (Sept-Dec),Fall 2020,Fall 2021,% Change,,,,,,,,,,Alkek Juvenile Collection,2856,3470,0.21498599439775912
Weekly Average,1432,1570.5625,0.09676152234636871,,,Senior/Post grad,12554,0.2036036912697254,13528,0.2103397341211226,,,Alkek Kits,40,34,-0.15
Semester Total,22907,25129,0.09700091675033833,,,,,,,,,,Alkek Laptops,4553,5315,0.16736217878321985
* Print/Media Collection Checkouts,15825,17708,0.11898894154818325,,,Undergraduate TOTAL,30257,0.491,34257,0.5326440177252585,,,Alkek Language Learning Media,13,35,1.6923076923076923
* Reserve ,992,1657,0.6703629032258065,,,,,,,,,,Alkek Models,35,41,0.17142857142857143
* Equipment/Keys,3938,3451,-0.12366683595733875,,,Masters/Post Grad,5926,0.096,6208,0.09652491642696105,,,Alkek New Books Collection,528,777,0.4715909090909091
* Computer/Mifi,2152,2313,0.07481412639405205,,,,,,,,,,Alkek Oned,4071,306,-0.924834193072955
, , ,,,,Doctoral,1150,0.019,1150,0.017880743216978932,,,Alkek Popular Reading Collection,555,1011,0.8216216216216217
Spring Semester (Jan-Apr),Spring 2021,Spring 2022,% Change,,,,,,,,,,Alkek Secured Collectione ,4543,7606,0.674224081003742
Weekly Average,1692,1488.3125,-0.12038268321513003,,,Graduate TOTAL,7076,0.115,7358,0.11440565964393998,,,Alkek TCMC (K-12 Textbooks),85,187,1.2
