TABLE 8,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Table 7,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table 9,Unnamed: 16,Unnamed: 17,Unnamed: 18
"CIRCULATION BORROWING BY PATRON GROUP, FY2023-2024",,,,,,,,CIRCULATION BORROWING RATES FY2023-2024,,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,
,,,,,,,,,,,,,,, FY2023 - FY2024,,,
,,,,,,,,All Locations (Univ Libraries and Music Library),2022-2023,2023-2024,% Change,,,,,,,
Class,Number of ,Percent,Number of ,Percent,,,,, , ,,,,,Location,FY2023,FY2024,% Change
,Loans  FY2023,of Total,Loans  FY2024a,of Total,,,,Annual Total Checkout Transactions,60726,64090,0.06,,,,Alkek CD Shelves,209,192,-0.08133971291866028
,,,,,,,,* Print/Media Collections,46103,44715,-0.03,,,,Alkek Ask Alkek Desk/Reservea,3533,1333,-0.6227002547410133
,,,,,,,,* Reserve ,3394,1493,-0.56,,,,Alkek DVD Shelvesb,1712,1300,-0.24065420560747663
Freshman,7360,0.09408380626603437,,,,,,* Equipment/Keys,8371,14616,0.75,,,,Alkek Exhibit Cases/Cartsc,337,271,
,,,,,,,,* Laptops/laptop chargers,2858,3266,0.14,,,,Alkek Game Shelves,80,113,0.4125
Sophomore,6325,0.09156495374329472,,,,,,, , ,,,,,"Alkek General Collection, Floors 5-6",33279,33756,0.01433336338231317
,,,,,,,,Circulation for ACRL Surveya,41333,39269,-0.049935886579730485,,,,Alkek Government Information ,57,69,0.21052631578947367
Junior,6869,0.13665552359480682,,,,,,, , ,,,,,Alkek Graphic Novels,2222,1778,-0.1998199819981998
,,,,,,,,Fall Semester (Sept-Dec),Fall 2022,Fall 2023-Spring 2024b,% Change,,,,Alkek Juvenile Collection,2869,2940,0.02474729871035204
Senior/Post grad,10979,0.2103397341211226,,,,,,Weekly Average,1400,1594,0.13857142857142857,,,,Alkek Kits,19,9,-0.5263157894736842
,,,,,,,,Semester Total,22393,51021,,,,,Alkek Laptops,2801,3266,0.16601213852195645
Undergraduate TOTAL,31533,0.5326440177252585,35383,0.5533522043069609,,,,* Print/Media Collection Checkouts,16583,33260,,,,,Alkek Language Learning Media,33,18,-0.45454545454545453
,,,,,,,,* Reserve ,1653,1237,,,,,Alkek Models,54,93,0.7222222222222222
Masters/Post Grad,4758,0.09652491642696105,4424,0.06918661933284331,,,,* Equipment/Keys,2867,13476,,,,,Alkek New Books Collection,802,680,-0.15211970074812967
,,,,,,,,* Laptops/laptop chargers,1290,3048,,,,,Alkek Oned,928,1941,1.0915948275862069
Doctoral,826,0.017880743216978932,822,0.012855199161753436,,,,, , ,,,,,Alkek Popular Reading Collection,1170,802,-0.3145299145299145
,,,,,,,,Spring Semester (Jan-Apr),Spring 2023,,% Change,,,,Alkek Secured Collectiond ,7544,12601,0.6703340402969247
Graduate TOTAL,5584,0.11440565964393998,5246,0.08204181849459675,,,,Weekly Average,1428,,,,,,Alkek TCMC (K-12 Textbooks),88,82,-0.06818181818181818
,,,,,,,,Semester Total,22843,,,,,,Alkek Testing Collectione,13,12,-0.07692307692307693
Student TOTAL,37117,0.6470496773691985,40629,0.6353940228015577,,,,* Print/Media Collection Checkouts,16847,,,,,,Alkek Toy Shelves,41,26,-0.36585365853658536
,,,,,,,,* Reserve ,1360,,,,,,Alkek Collections - Otherf,47,65,0.3829787234042553
Faculty ,11118,0.16330560522428672,13127,0.20529221337753936,,,,* Equipment/Keys,3611,,,,,,Archives & Research Center,615,639,0.03902439024390244
,,,,,,,,* Laptops/laptop chargers,1025,,,,,,Round Rock Library,735,734,-0.0013605442176870747
Staff,3248,0.052398351861929565,3109,0.04862142845972194,,,,, , ,,,,,Music Libraryg,1538,1370,-0.10923276983094929
,,,,,,,,Summer I (May-June),Summer I 2023,Summer I 2024 (May 23-June),% Change,,,,,,,
    Otherb,9243,0.13724636554458525,7078,0.11069233536118105,,,,Weekly Average,1152,1111,-0.035590277777777776,,,,TOTAL,60726,64090,0.055396370582617004
,,,,,,,,Summer I Total,9213,8886,-0.035493324649951155,,,,,,,
,,,,,,,,* Print/Media Collection Checkouts,7455,8229,0.10382293762575452,,,,,,,
Grand Total,60726,1,63943,1,,,,* Reserve ,202,63,-0.6881188118811881,,,,"a Equipment (cameras, projectors, etc.) transferred from Circulation to Alkek One in the course of FY23.",,,
,,,,,,,,* Equipment/Keys,1293,482,-0.6272235112142305,,,,b A large portion of DVDs moved to ARC.,,,
,,,,,,,,* Laptops/laptop chargers,263,112,-0.5741444866920152,,,,c Includes various Alkek display locations on floors 1-7.,, , 
,,,,,,,,, , ,,,,,"d  Secured Collection includes books, kits, models, calculators, headphones, and chargers.",,,
"a Combination of Sierra (Sep 2023-May 21, 2024) and FOLIO checkout (May 23 - August, 2024) statistics.",,,,,,,,Summer II (July-Aug),Summer II 2023,Summer II 2024,% Change,,,,e Testing Collection was discontinued and items were weeded or relocated to other locations in Spring 2024,,,
