Year,UNITID,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Original level of study on survey form,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women),Institution name alias,Institution (entity) name,Street address or post office box,City location of institution,State abbreviation,ZIP code,County name,UNITID-1,FIPS state code,Bureau of Economic Analysis (BEA) regions,Name of chief administrator,Title of chief administrator,General information telephone number,Employer Identification Number,Unique Entity Identifier (UEI) Numbers,Office of Postsecondary Education (OPE) ID Number,OPE Title IV eligibility indicator code,Institution's internet website address,Sector of institution,Level of institution,Control of institution,Highest level of offering,Undergraduate offering,Graduate offering,Highest degree offered,Degree-granting status,Historically Black College or University,Institution has hospital,Institution grants a medical degree,Tribal college,Degree of urbanization (Urban-centric locale),Institution open to the general public,Status of institution,UNITID for merged schools,Year institution was deleted from IPEDS,Institution is active in current year,Primarily postsecondary indicator,Postsecondary institution indicator,Institutional Category,Carnegie Classification 2025: Institutional Classification,Land Grant Institution,Institution size category,Multi-institution or multi-campus organization,Name of multi-institution or multi-campus organization,Longitude location of institution,Latitude location of institution
2024,228459,All students total,All students total,Generated total,42138,16798,25340,109,57,52,1173,499,674,3900,1645,2255,16986,6322,10664,43,23,20,16494,6735,9759,1341,535,806,901,345,556,1191,637,554,72.0,436.0,508.0,41630.0,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Undergraduate total",Undergraduate,Undergraduate,37218,15048,22170,100,54,46,1013,444,569,3508,1522,1986,15623,5908,9715,35,19,16,14544,6085,8459,1217,495,722,789,306,483,389,215,174,64.0,388.0,452.0,36766.0,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail",Undergraduate,37218,15048,22170,100,54,46,1013,444,569,3508,1522,1986,15623,5908,9715,35,19,16,14544,6085,8459,1217,495,722,789,306,483,389,215,174,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail",Undergraduate,8159,3053,5106,39,19,20,215,79,136,957,388,569,3513,1216,2297,9,5,4,2900,1102,1798,239,100,139,99,28,71,188,116,72,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail",Undergraduate,29059,11995,17064,61,35,26,798,365,433,2551,1134,1417,12110,4692,7418,26,14,12,11644,4983,6661,978,395,583,690,278,412,201,99,102,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Graduate",Graduate,Graduate,4920,1750,3170,9,3,6,160,55,105,392,123,269,1363,414,949,8,4,4,1950,650,1300,124,40,84,112,39,73,802,422,380,8.0,48.0,56.0,4864.0,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail",Undergraduate,3659,1734,1925,7,5,2,125,65,60,296,143,153,1411,614,797,4,3,1,1437,720,717,120,58,62,210,100,110,49,26,23,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail",Undergraduate,25400,10261,15139,54,30,24,673,300,373,2255,991,1264,10699,4078,6621,22,11,11,10207,4263,5944,858,337,521,480,178,302,152,73,79,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,Full-time students total,"Not applicable, undergraduate detail",Generated total,33077,12979,20098,93,50,43,882,360,522,3097,1289,1808,13280,4837,8443,35,18,17,12858,5194,7664,1074,415,659,705,253,452,1053,563,490,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
2024,228459,"Full-time students, Undergraduate total","Not applicable, undergraduate detail",Undergraduate,30248,11952,18296,87,47,40,793,335,458,2893,1218,1675,12567,4620,7947,29,16,13,11850,4875,6975,1002,394,608,654,240,414,373,207,166,,,,,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,Texas State University,601 University Dr,San Marcos,TX,78666,Hays County,228459.0,48.0,6 - Southwest AZ NM OK TX,Kelly Damphousse,President,5122452111.0,746002248.0,HS5HWWK1AAU5,361500.0,Participates in Title IV federal financial aid programs,https://www.txst.edu/,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,Institution is open to the public,Active - institution active,Not applicable,Not applicable,Yes,Primarily postsecondary institution,Active postsecondary institution,"Degree-granting, primarily baccalaureate or above",Mixed-Undergraduate/Graduate-Master's Large/Medium,Not a Land Grant Institution,"20,000 and above",Institution is part of a multi-institution or multi-campus organization,Texas State University System,-97.943029,29.888885
